,Residential Property Price Index ;  Sydney ;,Residential Property Price Index ;  Melbourne ;,Residential Property Price Index ;  Brisbane ;,Residential Property Price Index ;  Adelaide ;,Residential Property Price Index ;  Perth ;,Residential Property Price Index ;  Hobart ;,Residential Property Price Index ;  Darwin ;,Residential Property Price Index ;  Canberra ;,Residential Property Price Index ;  Weighted average of eight capital cities ;,Established House Price Index ;  Sydney ;,Established House Price Index ;  Melbourne ;,Established House Price Index ;  Brisbane ;,Established House Price Index ;  Adelaide ;,Established House Price Index ;  Perth ;,Established House Price Index ;  Hobart ;,Established House Price Index ;  Darwin ;,Established House Price Index ;  Canberra ;,Established House Price Index ;  Weighted average of eight capital cities ;,Attached Dwellings Price Index ;  Sydney ;,Attached Dwellings Price Index ;  Melbourne ;,Attached Dwellings Price Index ;  Brisbane ;,Attached Dwellings Price Index ;  Adelaide ;,Attached Dwellings Price Index ;  Perth ;,Attached Dwellings Price Index ;  Hobart ;,Attached Dwellings Price Index ;  Darwin ;,Attached Dwellings Price Index ;  Canberra ;,Attached Dwellings Price Index ;  Weighted average of eight capital cities ;
Sep-2003,85.3,60.7,64.2,62.2,48.3,61.2,40.5,68.3,69.0,86.1,59.5,65.0,62.4,48.2,60.7,41.9,67.7,68.3,83.4,65.4,60.5,61.5,49.1,63.8,36.2,70.7,71.8
Dec-2003,88.2,62.1,69.4,63.9,50.6,66.5,43.3,70.9,71.6,89.6,61.3,70.1,64.0,50.6,66.0,44.1,70.4,71.1,85.2,65.2,66.4,63.5,50.7,69.3,40.8,72.9,73.4
Mar-2004,87.0,60.8,70.7,64.8,52.5,68.7,45.5,69.9,71.3,88.8,59.9,71.3,64.9,52.4,67.5,46.9,69.5,70.9,83.1,64.5,67.6,64.1,52.7,74.3,41.1,71.9,72.6
Jun-2004,84.4,60.9,71.7,65.9,53.7,71.8,45.2,70.1,70.6,85.5,59.7,72.3,65.8,53.7,71.6,46.1,69.5,70.1,82.0,65.4,68.6,66.5,53.9,72.8,42.3,72.7,72.6
Sep-2004,84.2,60.9,71.2,67.1,54.7,72.3,46.8,68.6,70.6,85.0,59.9,71.5,67.2,54.8,72.1,48.4,68.4,70.1,82.3,64.6,69.9,66.8,54.4,73.2,41.5,69.4,72.7
Dec-2004,84.8,62.4,72.0,68.6,57.1,74.6,49.7,69.7,71.8,85.4,61.5,72.5,68.5,57.3,74.0,50.4,69.5,71.3,83.4,65.7,70.2,69.1,56.3,77.2,47.4,70.7,73.9
Mar-2005,83.2,62.5,72.6,68.6,59.4,75.8,53.6,70.3,71.7,83.6,61.3,73.0,68.8,59.6,74.7,53.7,69.7,71.0,82.4,67.1,70.6,67.7,58.6,80.9,53.5,73.0,74.0
Jun-2005,82.6,63.2,73.3,69.3,62.6,76.9,54.7,69.9,72.2,82.5,62.1,73.5,69.3,62.8,76.1,54.8,69.3,71.4,83.1,67.2,72.7,69.5,61.8,81.2,54.7,72.5,74.9
Sep-2005,81.4,63.1,73.6,70.0,65.2,76.7,56.1,70.1,72.1,81.1,62.1,73.6,69.6,65.4,76.3,57.5,69.4,71.3,82.2,67.0,73.6,72.1,64.4,78.9,51.9,73.3,74.9
Dec-2005,81.8,64.0,75.0,71.6,70.0,79.1,60.2,71.7,73.5,81.8,63.3,75.1,71.2,70.3,78.7,60.5,71.2,72.9,82.1,66.9,74.8,73.3,68.4,80.6,59.6,73.8,75.4
